"product_id";"basic_nutrition_id";"subcategory_id";"description";"source";"is_final";"is_verified";"language"
"01054";"01054";"0100";"Cream, whipped, cream topping, pressurized";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01055";"01055";"0100";"Cream, sour, reduced fat, cultured";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01056";"01056";"0100";"Cream, sour, cultured";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01057";"01057";"0100";"Eggnog";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01058";"01058";"0100";"Sour dressing, non-butterfat, cultured, filled cream-type";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01059";"01059";"0100";"Milk, filled, fluid, with blend of hydrogenated vegetable oils";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01060";"01060";"0100";"Milk, filled, fluid, with lauric acid oil";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01061";"01061";"0100";"Cheese, American, nonfat or fat free";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01064";"01064";"0100";"Yogurt, Greek, 2% fat, apricot, CHOBANI";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01065";"01065";"0100";"Yogurt, Greek, 2%fat, coconut blend, CHOBANI";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01067";"01067";"0100";"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01068";"01068";"0100";"Cream substitute, liquid, with lauric acid oil and sodium caseinate";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01069";"01069";"0100";"Cream substitute, powdered";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01070";"01070";"0100";"Dessert topping, powdered";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01071";"01071";"0100";"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01072";"01072";"0100";"Dessert topping, pressurized";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01073";"01073";"0100";"Dessert topping, semi solid, frozen";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01074";"01074";"0100";"Sour cream, imitation, cultured";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01076";"01076";"0100";"Milk substitutes, fluid, with lauric acid oil";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01077";"01077";"0100";"Milk, whole, 3.25% milkfat, with added vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01078";"01078";"0100";"Milk, producer, fluid, 3.7% milkfat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01079";"01079";"0100";"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01080";"01080";"0100";"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01081";"01081";"0100";"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01082";"01082";"0100";"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01083";"01083";"0100";"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01084";"01084";"0100";"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01085";"01085";"0100";"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01086";"01086";"0100";"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01087";"01087";"0100";"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01088";"01088";"0100";"Milk, buttermilk, fluid, cultured, lowfat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01089";"01089";"0100";"Milk, low sodium, fluid";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01090";"01090";"0100";"Milk, dry, whole, with added vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01091";"01091";"0100";"Milk, dry, nonfat, regular, without added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01092";"01092";"0100";"Milk, dry, nonfat, instant, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01093";"01093";"0100";"Milk, dry, nonfat, calcium reduced";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01094";"01094";"0100";"Milk, buttermilk, dried";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01095";"01095";"0100";"Milk, canned, condensed, sweetened";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01096";"01096";"0100";"Milk, canned, evaporated, with added vitamin D and without added vitamin A";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01097";"01097";"0100";"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01102";"01102";"0100";"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01103";"01103";"0100";"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01104";"01104";"0100";"Milk, chocolate, lowfat, with added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01105";"01105";"0100";"Milk, chocolate beverage, hot cocoa, homemade";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01106";"01106";"0100";"Milk, goat, fluid, with added vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01249";"01249";"0100";"Yogurt, Greek, 2% fat,mixed berry blend, CHOBANI";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01250";"01250";"0100";"Nutritional supplement for people with diabetes, liquid";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01251";"01251";"0100";"Cheese, Mexican blend";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01252";"01252";"0100";"Cheese product, pasteurized process, American, vitamin D fortified";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01253";"01253";"0100";"Cheese, pasteurized process, American, without added vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01254";"01254";"0100";"Cheese food, pasteurized process, American, without added vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01255";"01255";"0100";"Egg, whole, raw, frozen, salted, pasteurized";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01256";"01256";"0100";"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01258";"01258";"0100";"Egg, white, dried, stabilized, glucose reduced";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01259";"01259";"0100";"Cheese spread, American or Cheddar cheese base, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01260";"01260";"0100";"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01263";"01263";"0100";"Ice cream, light, soft serve, chocolate";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
